country,monument,photos_monuments,food,photos_food
Thailande,Temple of the Reclining Buddha,https://live.staticflickr.com/2895/14500914998_cdb71dcf7f_b.jpg, Phat Thai, https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Phat_Thai_kung_Chang_Khien_street_stall.jpg/1200px-Phat_Thai_kung_Chang_Khien_street_stall.jpg
Thailande,Grand Palace,http://upload.wikimedia.org/wikipedia/commons/b/b1/The_Grand_Palace_of_Thailand_2.jpg, Tom yam,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Tom_yam_kung_maenam.jpg/1200px-Tom_yam_kung_maenam.jpg
Thailande,Temple of the Dawn,https://c2.staticflickr.com/4/3237/3027469164_b56b242b29_z.jpg?zz=1, Laap, https://www.tabetai.cz/content/images/1920/laap_609_3958.jpg
Thailande,Great Buddha of Phuket,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Phuket%2C_The_Big_Buddha_-_panoramio.jpg/1024px-Phuket%2C_The_Big_Buddha_-_panoramio.jpg, Khao soi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Khao_Soi_Northern_Thai_food_%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%8B%E0%B8%AD%E0%B8%A2_%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%AD%E0%B8%87.jpg/1200px-Khao_Soi_Northern_Thai_food_%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%8B%E0%B8%AD%E0%B8%A2_%E0%B8%9C%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%AD%E0%B8%87.jpg
Thailande,Temple of the Emerald Buddha,http://4.bp.blogspot.com/-1mW4o8kOXSE/UBpNVktsU2I/AAAAAAAAIDo/ygG-1p8CdZ0/s1600/Wat+Phra+Kaew+00.jpg, Som tam,https://i0.wp.com/www.angsarap.net/wp-content/uploads/2012/03/som-tam.jpg?ssl=1
Viet Nam,Chu Chi Tunnels,http://travelerfolio.com/travelerfolio/photos/cu_chi_tunnel_ho_chi_minh_city_vietnam_07-590x442.jpg, Pho,https://mk0restaurantsbkd2xc.kinstacdn.com/wp-content/uploads/2014/01/Pho-PWF-0214.jpg
Viet Nam,Hoi An Ancient Town,http://www.all-free-photos.com/images/vietnam/PI46693-hr.jpg, Bun cha,https://i0.wp.com/www.angsarap.net/wp-content/uploads/2017/03/Bun-Cha-Wide.jpg
Viet Nam,Imperial City of Hué,https://live.staticflickr.com/1562/24273280635_2a5db6550d_b.jpg, Bánh mì,https://c1.staticflickr.com/1/464/19934977411_97145d0c4c_b.jpg
Viet Nam,The Marble Mountains,http://upload.wikimedia.org/wikipedia/commons/4/44/Marble_Mountains,_Vietnam.jpg, Bánh cuốn, http://flavorboulevard.com/wp-content/uploads/2012/01/banh-cuon-hoa-steamed-roll.jpg
Viet Nam,Hanoi Temple of Literature,https://live.staticflickr.com/5578/30592252315_d65031036a_b.jpg, Gỏi cuốn,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/G%E1%BB%8Fi_cu%E1%BB%91n.jpg/330px-G%E1%BB%8Fi_cu%E1%BB%91n.jpg
Guatemala,tikal,https://1.bp.blogspot.com/-JxkTx-lju80/V6acBQomDLI/AAAAAAABfuU/Y9T58KoWoD0jd9HfXrjSVmHT_hU6u5ozgCLcB/s1600/P3110317%2B%25282%2529.jpg, Chicken pepián, https://www.atastefortravel.ca/wp-content/uploads/2020/09/Feature-landscape-pepian-de-pollo-.jpg
Guatemala,arc of Santa Catalina,https://live.staticflickr.com/65535/49640785242_1973011621_b.jpg, Pupusas, http://www.sbs.com.au/food/sites/sbs.com.au.food/files/Papusas.jpg
Guatemala,Parque Central,https://c1.staticflickr.com/9/8152/7564471812_84d702b2f8_b.jpg, Kak’ik, https://www.atastefortravel.ca/wp-content/uploads/2020/11/kak-ik-horizontal-.jpg
Guatemala,Cerro de la Cruz,https://www.giuliaguidobaldi.com/wp-content/uploads/2017/09/Cerro-de-la-Cruz-Antigua-Guatemala-Francesca-Degni-%C2%A9.jpg, Empanadas,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2017/09/snapseed.jpg
Guatemala,Yaxha,https://s3.amazonaws.com/aws.reislogger.nl/harryenmarleen/foto/4516555.jpg, Hilachas,https://i.pinimg.com/originals/a0/ba/28/a0ba28564f8305a5f8294bbf8d7d97b6.jpg
Indonesia,Tegalalang rice terrace,https://s3.amazonaws.com/aws.reislogger.nl/jelma/foto/4548751.jpg, Nasi Goreng ,http://upload.wikimedia.org/wikipedia/commons/8/8b/Nasi-Goreng.jpg
Indonesia,Tanah Lot temple,https://live.staticflickr.com/7122/13988597241_d126de83f2_b.jpg, Rawon,http://2.bp.blogspot.com/-rLcVkpfFvMs/UE6oZdfxyGI/AAAAAAAACbU/MCdzScY_CtI/s1600/depot-nguling-1-rawon.jpg
Indonesia,Uluwatu Temple,https://c1.staticflickr.com/1/371/31574062003_0dce1cb4e1_b.jpg, Gado-gado,https://i0.wp.com/angsarap.net/wp-content/uploads/2012/11/gado-gado.jpg
Indonesia,Prambanan Temple,https://2.bp.blogspot.com/-kBJIgYcYtzo/Vqt7vCnT1LI/AAAAAAAABQ0/nYxWtho7zik/s1600/2.jpg, Pempek,http://1.bp.blogspot.com/-T8FpJ0f_2Ow/T1nSqtAbJ8I/AAAAAAAABaE/EFJwyEffLvQ/s1600/IMG_0362.JPG
Indonesia,Borobudur Temple,http://upload.wikimedia.org/wikipedia/commons/8/8c/Borobudur-Nothwest-view.jpg, Sayur Asem,http://4.bp.blogspot.com/-fFwWPuXhG9g/VCORtncbfpI/AAAAAAAAEmE/sHHoDjD08jo/s1600/Sayur-Asem-Kuah-Bening.jpg
